CODI_CAPA;CAPA_GENERICA;NOM_CAPA;ED50_COORD_X;ED50_COORD_Y;ETRS89_COORD_X;ETRS89_COORD_Y;LONGITUD;LATITUD;EQUIPAMENT;DISTRICTE;BARRI;NOM_DISTRICTE;NOM_BARRI;ADRECA;TELEFON
P001;Internet i comunicacions         ;WiFi BCN                                        ;433206.22;4584426.5;433114.25;4584225.5;2.199765;41.40679;Punt de connexió Barcelona WiFi al Parc Central del Poblenou (Av Diagonal amb Pere IV);10;71;Sant Martí;Provençals del Poblenou;Av Diagonal, 130;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;434691.97;4585029.0;434600.0;4584828.0;2.217474;41.412342;Punt de connexió Barcelona WiFi a la cruïlla de la Rambla Prim amb el carrer Llull;10;70;Sant Martí;el Besòs i el Maresme;C Llull, 404;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;431251.25;4582070.0;431159.3;4581869.0;2.176646;41.385406;Punt de connexió Barcelona WiFi a la cruïlla de la Via Laietana amb l'Avinguda de la Catedral;1;2;Ciutat Vella;el Barri Gòtic;Pl Antoni Maura, 6;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;430121.4;4583416.0;430029.47;4583215.0;2.162979;41.397427;Punt de connexió Barcelona WiFi a la cruïlla de l'Avinguda Diagonal amb Roger de Llúria;2;7;Eixample;la Dreta de l'Eixample;Av Diagonal, 363;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;431795.66;4581769.5;431703.72;4581568.5;2.183191;41.382744;Punt de connexió Barcelona WiFi a la cruïlla de Pla de Palau amb el Passeig d'Isabel II;1;4;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;Pla Palau, 22;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;427816.88;4583459.0;427724.97;4583258.0;2.135409;41.397614;Punt de connexió Barcelona WiFi a la cruïlla del carrer de Ganduxer amb Via Augusta;5;26;Sarrià-Sant Gervasi;Sant Gervasi - Galvany;C Ganduxer, 65;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;430033.56;4582364.0;429941.66;4582163.0;2.16205;41.387947;Punt de connexió Barcelona WiFi a la cruïlla del carrer d'Enric Granados amb carrer Consell de Cent;2;8;Eixample;l'Antiga Esquerra de l'Eixample;C Enric Granados, 15;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;429365.28;4581346.5;429273.34;4581145.5;2.154176;41.378723;Punt de connexió Barcelona WiFi a la cruïlla del c. Rocafort amb la Gran Via de les Corts Catalanes;2;10;Eixample;Sant Antoni;G.V. Corts Catalanes, 448;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;431483.72;4583174.0;431391.78;4582973.0;2.179302;41.395367;Punt de connexió Barcelona WiFi a la cruïlla del carrer Nàpols amb carrer Casp;2;5;Eixample;el Fort Pienc;C Nàpols, 123;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;429529.2;4581711.5;429437.25;4581510.5;2.156094;41.382027;Punt de connexió Barcelona WiFi a la cruïlla del carrer Diputació amb Comte Borrell;2;9;Eixample;la Nova Esquerra de l'Eixample;C Diputació, 124;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;433559.03;4584423.5;433467.06;4584222.5;2.203987;41.406796;Casal de Barri Bac de Roda - Poblenou;10;68;Sant Martí;el Poblenou;Camí Antic de València, 96*116;933 032 447
P001;Internet i comunicacions         ;WiFi BCN                                        ;428793.94;4581364.5;428702.03;4581164.0;2.147343;41.378838;Parc de Joan Miró;2;9;Eixample;la Nova Esquerra de l'Eixample;C Aragó, 2;10
P001;Internet i comunicacions         ;WiFi BCN                                        ;432366.56;4587108.5;432274.62;4586907.5;2.18942;41.43088;Centre Cívic Sant Andreu;9;60;Sant Andreu;Sant Andreu;C Gran de Sant Andreu, 111;933119953
P001;Internet i comunicacions         ;WiFi BCN                                        ;430858.66;4583429.0;430766.72;4583228.0;2.171796;41.397614;Punt de connexió Barcelona WiFi a la cruïlla del carrer Aragó amb el Passeig de Sant Joan;2;7;Eixample;la Dreta de l'Eixample;Pg Sant Joan, 69;null
